127.942721246401	1.65733221831528	2023-06-01	08.09.06.000	2	
127.933275909931	1.86191752993006	2023-06-01	08.09.39.000	2	
127.946397372979	1.91616868562289	2023-06-01	08.15.47.000	2	
127.994212366533	1.86951814965614	2023-06-01	08.16.59.000	2	
127.834751853271	1.96680004845516	2023-06-01	08.27.04.000	2	
127.959963735093	0.205469570493952	2023-06-01	08.35.11.000	2	
127.592413193522	0.526080243497566	2023-06-01	08.37.36.000	2	
127.949747205346	0.413865656413539	2023-06-01	08.43.00.000	2	
127.902841015803	0.0348891192384901	2023-06-01	08.43.03.000	2	
127.801230183594	0.128716019335603	2023-06-01	08.44.42.000	2	
127.56076001637	0.44607332182654	2023-06-01	08.45.21.000	2	
127.592041160541	0.359892886265341	2023-06-01	08.45.21.000	2	
127.671407940038	0.579757950373673	2023-06-01	08.46.04.000	2	
127.680592216045	0.529749982511481	2023-06-01	08.46.04.000	2	
127.607444433608	0.503163291418462	2023-06-01	08.46.04.000	2	
127.554080313135	0.552264773239906	2023-06-01	08.46.20.000	2	
127.502863358502	0.527270700012954	2023-06-01	08.47.02.000	2	
127.626502952849	0.425308054947148	2023-06-01	08.47.02.000	2	
127.543194212124	0.543327529647448	2023-06-01	08.47.37.000	2	
127.567497757608	0.450229570980773	2023-06-01	08.47.47.000	2	
127.463685051422	0.588171591020387	2023-06-01	08.47.47.000	2	
127.704933492079	0.502349791389617	2023-06-01	08.47.47.000	2	
127.664223993076	0.552999275788875	2023-06-01	08.48.20.000	2	
127.663954326709	0.509361520264598	2023-06-01	08.48.20.000	2	
127.591980792106	0.591840096898291	2023-06-01	08.49.27.000	2	
127.674935998853	0.552499481835201	2023-06-01	08.49.27.000	2	
127.601620932077	0.463063657144423	2023-06-01	08.49.32.000	2	
127.571181312541	0.507955245693222	2023-06-01	08.49.32.000	2	
127.996470930748	1.8472643324775	2023-06-01	08.49.34.000	2	
127.660938027113	0.659588682027407	2023-06-01	08.50.09.000	2	
127.626320604328	0.471677458632382	2023-06-01	08.50.16.000	2	
127.550923523521	0.51527129270401	2023-06-01	08.50.18.000	2	
127.535137984818	0.515293639527086	2023-06-01	08.50.54.000	2	
127.493528504238	0.574351019962853	2023-06-01	08.52.46.000	2	
127.708371974481	0.659000589988011	2023-06-01	08.57.06.000	2	
127.582139638377	0.528910172957756	2023-06-01	08.57.18.000	2	
127.617312403789	0.699262413914465	2023-06-01	08.58.37.000	2	
127.630413189386	0.55339796202644	2023-06-01	08.59.21.000	2	
127.994670237759	1.68756639541109	2023-06-01	09.00.15.000	2	
127.873980924961	1.68860010823006	2023-06-01	09.02.10.000	2	
127.835370438229	0.644755800435004	2023-06-01	09.02.29.000	2	
127.869065260501	1.7221811147802	2023-06-01	09.02.31.000	2	
127.537039964654	0.527527943307878	2023-06-01	09.02.37.000	2	
127.633016493943	0.542462028252503	2023-06-01	09.02.44.000	2	
127.676612291785	0.677888313629095	2023-06-01	09.04.25.000	2	
127.786779554944	0.417379058548099	2023-06-01	09.05.26.000	2	
127.784672284359	0.664024863859534	2023-06-01	09.05.54.000	2	
127.781926602121	0.653784712801429	2023-06-01	09.06.59.000	2	
127.811612983357	1.39700996691904	2023-06-01	09.07.48.000	2	
127.605004837844	0.665320113295658	2023-06-01	09.08.58.000	2	
127.707873715839	1.54979220786279	2023-06-01	09.09.46.000	2	
127.925358177014	1.5597466728234	2023-06-01	09.10.16.000	2	
127.986923730906	1.10094012276137	2023-06-01	09.10.17.000	2	
127.784208158295	0.630636906751402	2023-06-01	09.10.47.000	2	
127.659632665884	0.633368434448914	2023-06-01	09.10.47.000	2	
127.886891820026	1.55353154006195	2023-06-01	09.11.41.000	2	
127.757034315931	1.52602737584617	2023-06-01	09.11.55.000	2	
127.826278317295	1.55979449609421	2023-06-01	09.12.15.000	2	
127.6777314544	0.681702996331154	2023-06-01	09.13.04.000	2	
127.804064456397	1.65415758157884	2023-06-01	09.13.39.000	2	
127.944304558182	1.62363398190543	2023-06-01	09.14.00.000	2	
127.949483807321	1.26914600784262	2023-06-01	09.14.47.000	2	
127.870225663438	1.542953023053	2023-06-01	09.15.04.000	2	
127.829796460364	1.14516675283301	2023-06-01	09.15.43.000	2	
127.830250418985	1.36022726441039	2023-06-01	09.15.43.000	2	
127.711906381934	0.670456136658671	2023-06-01	09.16.01.000	2	
127.896988966264	1.21957342448568	2023-06-01	09.16.31.000	2	
127.799000576856	0.64809910587847	2023-06-01	09.17.05.000	2	
127.763439495351	1.3092475465377	2023-06-01	09.17.36.000	2	
127.884660991525	1.39728836639426	2023-06-01	09.19.05.000	2	
127.739610028682	0.669369803248814	2023-06-01	09.19.09.000	2	
127.817912341235	1.26379864265311	2023-06-01	09.20.13.000	2	
127.779619392388	1.26168512335705	2023-06-01	09.20.13.000	2	
127.750375782147	0.642851480678809	2023-06-01	09.21.34.000	2	
127.81702281653	1.13228056383614	2023-06-01	09.23.08.000	2	
127.674586316229	0.671381855203887	2023-06-01	09.24.45.000	2	
127.576493020453	1.10945060383351	2023-06-01	09.26.11.000	2	
127.776189345606	1.05084072074481	2023-06-01	09.26.11.000	2	
127.663941582115	0.66789426275301	2023-06-01	09.27.02.000	2	
127.575718666138	1.09923899701856	2023-06-01	09.27.49.000	2	
127.689805657738	0.692170942294978	2023-06-01	09.31.33.000	2	
127.738336525069	0.664795058842634	2023-06-01	09.32.20.000	2	
127.527076430948	1.11596245725193	2023-06-01	09.32.53.000	2	
127.715474154535	0.651880737951056	2023-06-01	09.33.38.000	2	
