128.125752858385 0.960937638386947 2023-06-14 04.54.19.000 2
128.318173748283 0.818719598936106 2023-06-14 04.56.35.000 2
128.057444255866 1.05555331225297 2023-06-14 05.35.55.000 1
127.791644120942 1.56899179318361 2023-06-14 05.40.05.000 2
128.006716123282 1.05998445012084 2023-06-14 05.41.21.000 2
127.614300289458 1.1494959657567 2023-06-14 05.49.43.000 2
128.303706132351 0.884325857969683 2023-06-14 07.45.04.000 2
127.484310401031 1.01626384342682 2023-06-15 08.13.54.000 1
127.399201637277 0.826376966012842 2023-06-15 08.27.34.000 1
127.971149499856 1.53632761149439 2023-06-15 13.09.59.000 2
128.001828676946 1.71550755024035 2023-06-15 13.12.01.000 2
128.102223432774 0.7253730062225 2023-06-16 04.38.42.000 1
127.815175178232 1.70910453443795 2023-06-16 05.53.07.000 2
127.850341520467 1.66041347877785 2023-06-16 05.55.28.000 1
127.798682678549 1.59595410457592 2023-06-16 05.55.43.000 1
127.703747966218 1.67837155990381 2023-06-16 05.56.18.000 1
127.793035931329 1.63947426694346 2023-06-16 05.56.18.000 1
127.745798991296 1.66139689795161 2023-06-16 05.56.18.000 1
127.737563368681 1.62556625031113 2023-06-16 05.56.46.000 2
127.742507866504 1.59360080459282 2023-06-16 05.57.09.000 2
127.838464272147 1.68727985161607 2023-06-16 05.57.10.000 2
128.304878246045 1.61576243372164 2023-06-16 05.57.19.000 0
127.65419191524 1.53286885823729 2023-06-16 05.57.43.000 2
127.707517643368 1.50026418277339 2023-06-16 05.58.09.000 0
127.873267834941 1.63690087953504 2023-06-16 05.58.10.000 0
127.897213948852 1.69613314848952 2023-06-16 05.58.10.000 1
127.773121049188 1.59893988032106 2023-06-16 05.59.08.000 2
127.716040490694 1.59551668820684 2023-06-16 05.59.08.000 2
127.601756960585 1.6355801812406 2023-06-16 05.59.08.000 2
127.763999378573 1.54276847901475 2023-06-16 05.59.09.000 2
127.568083293747 1.27545660103587 2023-06-16 06.01.11.000 2
127.659673441663 1.55978391309562 2023-06-16 06.01.16.000 0
127.641711328598 1.63306054058188 2023-06-16 06.01.16.000 2
127.772154313922 1.50758219371658 2023-06-16 06.01.16.000 2
127.830189869537 1.67122317986478 2023-06-16 06.01.17.000 1
127.52824065894 1.56958498457327 2023-06-16 06.02.00.000 2
127.563449711961 1.66375108195429 2023-06-16 06.02.07.000 2
127.67795543619 1.56239102033745 2023-06-16 06.02.33.000 1
127.744741722785 1.57258367263593 2023-06-16 06.02.33.000 2
127.840681615678 1.44279396088495 2023-06-16 06.03.10.000 2
127.975463922331 1.30807301059911 2023-06-16 06.03.10.000 2
128.04497757588 1.55684055330361 2023-06-16 06.03.10.000 2
127.796685948337 1.47216607747482 2023-06-16 06.03.10.000 2
127.980430196531 1.70814641364354 2023-06-16 06.03.10.000 2
127.923702930843 1.5047619402143 2023-06-16 06.03.11.000 1
127.958920364445 1.49977350529979 2023-06-16 06.03.11.000 2
127.973796538357 1.53420011291309 2023-06-16 06.03.11.000 2
127.892727991359 1.52758588706846 2023-06-16 06.03.11.000 2
127.933219541575 1.48579858740674 2023-06-16 06.03.11.000 2
127.858200613277 1.45239516271703 2023-06-16 06.03.11.000 2
127.964635025198 1.56433292342308 2023-06-16 06.03.11.000 1
127.741740995147 1.64346180910118 2023-06-16 06.03.19.000 2
127.791291028181 1.60999827375885 2023-06-16 06.04.19.000 2
127.813549325766 1.70989050528558 2023-06-16 06.04.19.000 1
127.69016525528 1.5769559248529 2023-06-16 06.04.19.000 2
127.787209945819 1.60194097424012 2023-06-16 06.04.19.000 1
127.847770183312 1.60999039564741 2023-06-16 06.04.19.000 2
127.654598640462 1.42517543296067 2023-06-16 06.04.19.000 2
127.415825087016 1.57538365788746 2023-06-16 06.05.25.000 2
127.682649305901 1.57024584974088 2023-06-16 06.05.25.000 1
127.715990289512 1.43535696192499 2023-06-16 06.05.25.000 1
127.560493047306 1.60878262288423 2023-06-16 06.05.25.000 1
127.582192064119 1.60339712486668 2023-06-16 06.05.26.000 1
127.77962408951 1.61587988667476 2023-06-16 06.05.39.000 2
127.755574932582 1.41267277363035 2023-06-16 06.05.39.000 1
127.695945100903 1.5155443704562 2023-06-16 06.05.39.000 2
127.696950027127 1.34256728270209 2023-06-16 06.05.39.000 2
127.577988192173 1.40664079661725 2023-06-16 06.05.39.000 1
127.598600884136 1.40895565766485 2023-06-16 06.05.39.000 2
127.700160182608 1.3719588013499 2023-06-16 06.05.39.000 2
127.686628800109 1.42002557853514 2023-06-16 06.05.39.000 2
127.551629017604 1.42431946718793 2023-06-16 06.06.29.000 0
127.50969140408 1.32335010421403 2023-06-16 06.06.29.000 2
127.529794842495 1.38348148929181 2023-06-16 06.06.29.000 2
127.760257662261 1.42039136512567 2023-06-16 06.06.30.000 2
127.705416175184 1.46112142378499 2023-06-16 06.07.14.000 0
127.60809525296 1.50140230120469 2023-06-16 06.07.14.000 1
127.657992693451 1.42365062574297 2023-06-16 06.07.39.000 0
127.535969172419 1.35356618244169 2023-06-16 06.07.39.000 2
127.513898415786 1.3315888511851 2023-06-16 06.07.39.000 2
127.583974579532 1.34688193351707 2023-06-16 06.09.06.000 2
127.776360582425 1.55667858663515 2023-06-16 06.09.07.000 2
127.650114233964 1.37752633548225 2023-06-16 06.09.07.000 2
127.419470592198 1.3756192168714 2023-06-16 06.09.07.000 1
127.61760137981 1.25242327465513 2023-06-16 06.09.07.000 1
127.548336288422 1.4627410209852 2023-06-16 06.09.26.000 1
127.998215931106 1.45319270734405 2023-06-16 06.09.26.000 2
