120.93	-2.99	5	1.9
120.9	-1.17	10	2.6
121.59	0.94	11	2.3
120.41	-1.44	15	1.9
121.83	0.17	198	2.8
117.92	1.71	12	3.3
120.27	-4.93	16	1.3
120.64	-2.29	5	3.8
120.2	-1.63	2	2.3
120.16	-1.61	6	1.8
119.85	-0.19	3	2.3
