GHMI	127.8797	-0.3563	1
GLMI	127.7879	1.8381	5
IHMI	127.5556	1.5082	1
JHMI	127.4783	1.0821	1
LBMI	127.5008	-0.6379	1
MTAI	128.2758	2.1980	1
OBMI	127.6444	-1.3413	4
PMMI	127.4158	0.3738	1
SANI	125.9881	-2.0497	1
TNTI	127.3667	0.7718	1
WBMI	127.8708	0.3393	1
WHMI	128.1320	1.0825	1
