id,epoch_ms,datetime_utc,latitude,longitude,type
1,1689832866000.0,2023-07-20 15.01.06.000,4.492609446405753,126.97644924536915,2
2,1689832904000.0,2023-07-20 15.01.44.000,4.5033043949603435,124.88969006657024,2
3,1689832915000.0,2023-07-20 15.01.55.000,-1.3221119879659566,122.7843641756238,2
4,1689832928000.0,2023-07-20 15.02.08.000,0.9019813097183161,121.98668813393267,2
5,1689832976000.0,2023-07-20 15.02.56.000,1.660515324387529,121.31202531181161,0
6,1689832990000.0,2023-07-20 15.03.10.000,4.4461960839392125,130.45927864581998,2
7,1689833001000.0,2023-07-20 15.03.21.000,4.511304409662884,124.86925132922408,0
8,1689833026000.0,2023-07-20 15.03.46.000,4.59260038308833,124.82910706453768,2
9,1689833043000.0,2023-07-20 15.04.03.000,4.787974045208076,125.4886276504239,0
10,1689833055000.0,2023-07-20 15.04.15.000,1.2079662445981179,121.99332723211408,0
11,1689833118000.0,2023-07-20 15.05.18.000,3.8456033301862806,124.87429697893988,2
12,1689833220000.0,2023-07-20 15.07.00.000,4.570183657328331,125.06221442133908,0
13,1689833230000.0,2023-07-20 15.07.10.000,2.9413546468477048,123.16445491002276,0
14,1689833247000.0,2023-07-20 15.07.27.000,0.8926543000386715,122.15722383789164,2
15,1689833250000.0,2023-07-20 15.07.30.000,3.785141204036763,125.0442239248268,2
16,1689833289000.0,2023-07-20 15.08.09.000,1.8169928262160253,121.75667436184764,2
17,1689833353000.0,2023-07-20 15.09.13.000,4.81867794994429,125.11418416729363,2
18,1689833388000.0,2023-07-20 15.09.48.000,1.0758005190877515,123.47904351210256,0
19,1689833391000.0,2023-07-20 15.09.51.000,5.01550168723179,125.33889672180825,2
20,1689833445000.0,2023-07-20 15.10.45.000,0.7743814954419558,123.66530249842194,2
21,1689833463000.0,2023-07-20 15.11.03.000,6.155341256829608,127.23655038942452,2
22,1689833526000.0,2023-07-20 15.12.06.000,0.7722651736685524,121.74273382422031,0
23,1689833560000.0,2023-07-20 15.12.40.000,0.7137162902244399,122.84822116300211,2
24,1689833560000.0,2023-07-20 15.12.40.000,3.8823567805821892,125.00855009418412,2
25,1689833575000.0,2023-07-20 15.12.55.000,4.712232106306063,125.0725085825651,0
