id,epoch_ms,datetime_utc,latitude,longitude,type
1,1689055216000.0,2023-07-11 15.00.16.000,4.618728683269558,129.534680294607,2
2,1689055216000.0,2023-07-11 15.00.16.000,4.845215927040408,129.1396494034605,1
3,1689055219000.0,2023-07-11 15.00.19.000,1.5334729980354724,124.94884031144872,2
4,1689055246000.0,2023-07-11 15.00.46.000,4.006468530713137,125.52223549787381,1
5,1689055313000.0,2023-07-11 15.01.53.000,-1.9141946087399873,123.16854140612803,1
6,1689055316000.0,2023-07-11 15.01.56.000,1.7841311346691477,124.53048432106185,2
7,1689055344000.0,2023-07-11 15.02.24.000,3.6251286180129907,125.97339223012051,1
8,1689055350000.0,2023-07-11 15.02.30.000,3.9212250017997476,125.55425644585765,2
9,1689055364000.0,2023-07-11 15.02.44.000,1.3933573112385886,123.06211440915874,2
10,1689055437000.0,2023-07-11 15.03.57.000,1.4292062404615107,124.90935015763031,0
11,1689055442000.0,2023-07-11 15.04.02.000,0.8176038884304162,122.76706879798849,0
12,1689055496000.0,2023-07-11 15.04.56.000,4.145315543211959,125.79057829860888,2
13,1689055511000.0,2023-07-11 15.05.11.000,3.9243065772373273,125.50598902518126,0
14,1689055539000.0,2023-07-11 15.05.39.000,1.1741321932560382,122.26105447231465,2
15,1689055603000.0,2023-07-11 15.06.43.000,3.729890460498467,125.98421051073129,2
16,1689055637000.0,2023-07-11 15.07.17.000,2.3981317843591885,123.12837048151347,2
17,1689055668000.0,2023-07-11 15.07.48.000,1.0421447646438304,124.57626749913254,2
18,1689055754000.0,2023-07-11 15.09.14.000,2.4158463397540286,121.90087901320051,0
19,1689055755000.0,2023-07-11 15.09.15.000,3.3764243883864165,122.29593605159596,0
20,1689055763000.0,2023-07-11 15.09.23.000,4.3022572633881255,126.02335325918497,2
21,1689055789000.0,2023-07-11 15.09.49.000,0.8911660313844596,124.54804319287152,0
22,1689055789000.0,2023-07-11 15.09.49.000,1.0757313013165986,124.59773520843726,0
23,1689055927000.0,2023-07-11 15.12.07.000,2.4091781058258603,121.89889154747976,0
24,1689055929000.0,2023-07-11 15.12.09.000,1.513561295785552,124.7274345380593,0
25,1689055929000.0,2023-07-11 15.12.09.000,1.2029269774624238,124.56897459130464,0
26,1689055930000.0,2023-07-11 15.12.10.000,3.347691714308306,128.631830037581,2
27,1689055972000.0,2023-07-11 15.12.52.000,0.775035649702304,124.50979580885105,2
28,1689055972000.0,2023-07-11 15.12.52.000,1.2487039656214007,124.58543862032114,0
29,1689055987000.0,2023-07-11 15.13.07.000,4.23993352469671,129.016128959636,1
30,1689055989000.0,2023-07-11 15.13.09.000,4.145943326893683,125.60911312822358,0
31,1689056046000.0,2023-07-11 15.14.06.000,1.9626642427513665,122.30109396224822,0
32,1689056074000.0,2023-07-11 15.14.34.000,2.558844410747467,128.19881690180338,2
33,1689056074000.0,2023-07-11 15.14.34.000,4.275905219964366,125.79519076504637,2
34,1689056134000.0,2023-07-11 15.15.34.000,4.132647939006676,125.64211892307094,0
35,1689056165000.0,2023-07-11 15.16.05.000,3.1837499878101183,128.23754656801793,2
36,1689056246000.0,2023-07-11 15.17.26.000,2.7254722163368927,123.4582968612411,1
37,1689056275000.0,2023-07-11 15.17.55.000,4.184723657272673,125.72680381701154,2
38,1689056316000.0,2023-07-11 15.18.36.000,2.5077875776452268,122.00469755954393,2
39,1689056432000.0,2023-07-11 15.20.32.000,1.8565624424273073,123.40505504906115,2
40,1689056442000.0,2023-07-11 15.20.42.000,1.5652734340059138,122.60672188115008,0
41,1689056489000.0,2023-07-11 15.21.29.000,2.756190910287306,122.22568403483866,0
42,1689056584000.0,2023-07-11 15.23.04.000,1.124197113602597,121.27623834162729,0
43,1689056606000.0,2023-07-11 15.23.26.000,1.3526533478299367,123.11996427801022,2
44,1689056671000.0,2023-07-11 15.24.31.000,2.7681977483842797,122.54011085255217,1
45,1689056681000.0,2023-07-11 15.24.41.000,4.440350818058521,125.72260453092656,2
46,1689056699000.0,2023-07-11 15.24.59.000,1.4040276711213115,123.14538743460328,0
47,1689056702000.0,2023-07-11 15.25.02.000,4.351981884895677,125.44115857798862,2
48,1689056705000.0,2023-07-11 15.25.05.000,4.482773125789327,125.70738707601313,0
49,1689056719000.0,2023-07-11 15.25.19.000,4.3661901405555765,125.5862823597455,0
50,1689056745000.0,2023-07-11 15.25.45.000,1.5101879311645292,124.54041596412358,2
51,1689056745000.0,2023-07-11 15.25.45.000,1.5760887046712864,122.92772952904788,0
52,1689056820000.0,2023-07-11 15.27.00.000,3.8993815227591493,126.0562953008331,0
53,1689056844000.0,2023-07-11 15.27.24.000,5.00670007655349,128.82297236295634,2
54,1689056885000.0,2023-07-11 15.28.05.000,2.33677423592831,124.1487815458507,0
55,1689056998000.0,2023-07-11 15.29.58.000,1.5682457913091659,124.4628689060627,2
56,1689056998000.0,2023-07-11 15.29.58.000,1.7155453455629717,123.78599587779556,0
57,1689057003000.0,2023-07-11 15.30.03.000,3.559153023538245,128.6898911089766,1
58,1689057010000.0,2023-07-11 15.30.10.000,4.42781702535582,125.4305374084707,0
59,1689057055000.0,2023-07-11 15.30.55.000,4.37478957682715,125.64508226654218,2
60,1689057069000.0,2023-07-11 15.31.09.000,2.354474268162189,123.7709357959934,2
61,1689057118000.0,2023-07-11 15.31.58.000,-1.3924154242224023,122.67823624408622,2
62,1689057132000.0,2023-07-11 15.32.12.000,4.4682835909387535,125.56992051513647,0
63,1689057135000.0,2023-07-11 15.32.15.000,3.4598049615959563,123.75111098257945,0
