@ARDAT,342,1669774233000,1.635,131.923,79.3,516,2,0
@ARDAT,343,1669774234000,3.346,129.698,42.3,385,2,0
@ARDAT,344,1669774250000,-3.628,126.333,193.3,500,2,0
@ARDAT,345,1669774258000,-3.823,129.900,151,581,2,0
@ARDAT,346,1669774278000,0.712,132.011,90.7,517,0,0
@ARDAT,347,1669774299000,-2.899,126.396,194.9,420,2,0
@ARDAT,348,1669774300000,-3.582,125.800,199.9,512,2,0
@ARDAT,349,1669774309000,-3.320,125.046,209.7,521,2,0
@ARDAT,350,1669774329000,-1.787,125.772,212.1,334,2,0
@ARDAT,351,1669774362000,-2.890,126.732,189.9,411,0,0
@ARDAT,352,1669774382000,1.175,130.595,82.9,362,2,0
@ARDAT,353,1669774390000,-2.366,123.779,229,529,2,0
@ARDAT,354,1669774392000,-2.329,129.146,150,396,2,0
@ARDAT,355,1669774400000,4.625,128.902,21.8,459,2,0
@ARDAT,356,1669774434000,0.917,131.344,87.9,443,0,0
@ARDAT,357,1669774479000,4.510,130.617,41.1,549,2,0
@ARDAT,358,1669774504000,-3.154,129.229,154.5,481,2,0
@ARDAT,359,1669774510000,-2.850,125.485,207.6,452,2,0
@ARDAT,360,1669774519000,-3.296,126.544,191.5,459,2,0
@ARDAT,361,1669774552000,-0.976,125.473,227.5,286,2,0
@ARDAT,362,1669774558000,-3.468,126.363,193.4,482,2,0
@ARDAT,363,1669774589000,1.751,131.698,77.3,494,2,0
@ARDAT,364,1669774606000,1.100,131.955,85.9,512,2,0
@ARDAT,365,1669774620000,-3.418,128.958,159.1,496,2,0
@ARDAT,366,1669774665000,-3.051,124.803,214,510,2,1
@ARDAT,367,1669774688000,-3.483,129.137,157.3,510,2,0
@ARDAT,368,1669774695000,1.171,132.229,85.3,543,2,0
@ARDAT,369,1669774696000,-3.255,125.830,201,477,2,1
@ARDAT,370,1669774706000,-3.610,126.457,191.8,495,2,1
@ARDAT,371,1669774717000,-2.730,128.873,156.6,422,2,0
@ARDAT,372,1669774717000,-3.469,129.280,155.6,515,2,0
@ARDAT,373,1669774740000,-3.591,129.182,157.3,523,0,0
@ARDAT,374,1669774749000,0.820,131.419,89.3,451,0,0
@ARDAT,375,1669774753000,-1.868,124.162,230.7,461,2,0
@ARDAT,376,1669774810000,3.087,131.580,61.3,534,2,0
@ARDAT,377,1669774820000,1.046,132.301,86.8,550,2,0
@ARDAT,378,1669774821000,0.847,132.326,89.1,552,2,1
@ARDAT,379,1669774849000,3.906,129.849,38.5,443,2,0
@ARDAT,380,1669774864000,5.818,129.120,19.2,591,0,0
@ARDAT,381,1669774910000,-3.551,129.682,151.7,543,2,0
@ARDAT,382,1669774947000,2.645,130.432,58.7,399,2,0
@ARDAT,383,1669774949000,1.268,131.461,83.1,459,2,1
@ARDAT,384,1669774990000,-3.707,127.741,175.2,497,2,0
@ARDAT,385,1669775008000,4.818,130.087,34,540,2,0
@ARDAT,386,1669775009000,-1.971,123.517,234.7,525,2,0
@ARDAT,387,1669775016000,-3.218,125.691,202.9,479,2,1
@ARDAT,388,1669775028000,1.357,131.468,81.9,461,2,1
@ARDAT,389,1669775036000,2.935,130.113,51.9,388,2,0
@ARDAT,390,1669775044000,2.454,131.275,66.8,473,2,0
@ARDAT,391,1669775046000,-2.610,127.396,179.5,374,2,0
@ARDAT,392,1669775058000,3.936,128.937,26.5,391,2,0
