SAMBARAN TOTAL
Tipe,Jumlah
CG+,1369
CG-,2504
IC,5433
Jumlah Total,9306

SAMBARAN PER HARI
Tanggal,CG+,CG-,IC,Jumlah
07-Jun-23,0,4,6,10
08-Jun-23,2,1,3,6
09-Jun-23,709,1343,2414,4466
10-Jun-23,33,26,115,174
11-Jun-23,7,16,72,95
12-Jun-23,593,1090,2701,4384
13-Jun-23,20,21,100,141
14-Jun-23,5,3,21,29
